proper_nouns
CricketLeague
SpaceShuttle
Guitarist
HorseTrainer
LacrossePlayer
MixedMartialArtsLeague
CurlingLeague
Stream
SumoWrestler
SpeedwayLeague
VideogamesLeague
VoiceActor
VolleyballCoach
WaterwayTunnel
Spacecraft
Presenter
SnookerChamp
Constellation
ChemicalElement
BoxingLeague
BowlingLeague
Bay
AmericanFootballPlayer
NascarDriver
AustralianRulesFootballPlayer
GridironFootballPlayer
IceHockeyPlayer
CollegeCoach
Congressman
GaelicGamesPlayer
PokerPlayer
SquashPlayer
Canoeist
BaseballPlayer
Historian
Senator
SpeedwayRider
Actor
BusinessPerson
AmateurBoxer
FigureSkater
NationalCollegiateAthleticAssociationAthlete
Astronaut
BasketballPlayer
SnookerPlayer
Jockey
College
TableTennisPlayer
Skier
SpeedwayTeam
GolfPlayer
Journalist
Boxer
ComicsCreator
Curler
BeautyQueen
RadioHost
Rower
BadmintonPlayer
Gymnast
AdultActor
Engineer
HandballPlayer
SoccerManager
VolleyballPlayer
Chef
CanadianFootballTeam
MartialArtist
Bodybuilder
Judge
Cricketer
Glacier
Mayor
ScreenWriter
Model
AustralianFootballTeam
MemberOfParliament
CareerStation
Medician
RugbyPlayer
LacrosseLeague
SoccerPlayer
NetballPlayer
ClassicalMusicArtist
Photographer
Wrestler
Athlete
Airport
Swimmer
ChessPlayer
Economist
TelevisionHost
MotorcycleRider
Cyclist
RacingDriver
MusicalArtist
Comedian
Scientist
CricketGround
TennisPlayer
City
Ambassador
Valley
River
FashionDesigner
Village
Politician
Writer
BeachVolleyballPlayer
FieldHockeyLeague
Person
TimePeriod
MotorcycleRacingLeague
EducationalInstitution
PersonFunction
HockeyTeam
Artist
OfficeHolder
Airline
FormulaOneRacer
Town
BaseballLeague
SportsTeam
DartsPlayer
WaterRide
RailwayTunnel
InlineHockeyLeague
SoapCharacter
Dam
NationalFootballLeagueEvent
Island
Architect
MilitaryPerson
TennisLeague
Park
RoadTunnel
ProtectedArea
Prison
BaseballTeam
Murderer
School
Racecourse
Cleric
Religious
Brewery
AutoRacingLeague
Entomologist
Place
RecordLabel
Governor
Sea
Hotel
PowerStation
Skater
President
FormulaOneTeam
ShoppingMall
Poet
AustralianFootballLeague
Hospital
HorseRider
BodyOfWater
Philosopher
RaceHorse
Volcano
MountainRange
Lake
PrimeMinister
GolfCourse
Painter
AdministrativeRegion
HistoricPlace
Venue
WomensTennisAssociationTournament
GolfLeague
BasketballTeam
BusCompany
Stadium
Criminal
Settlement
Bridge
FictionalCharacter
AnimangaCharacter
CyclingTeam
ComicsCharacter
SiteOfSpecialScientificInterest
Tunnel
Company
CanadianFootballLeague
Lighthouse
Newspaper
RollerCoaster
Winery
Garden
Publisher
Building
Chancellor
AmericanFootballTeam
Mountain
MilitaryStructure
ArchitecturalStructure
ChristianBishop
HandballLeague
Cave
BasketballLeague
VolleyballLeague
Cardinal
Website
Theatre
HistoricBuilding
Library
Pope
Bank
SportsLeague
AmericanFootballLeague
ResearchProject
BroadcastNetwork
SkiArea
Magazine
RoadJunction
Crater
SoccerClub
MountainPass
SoccerLeague
IceHockeyLeague
Convention
Band
Restaurant
TelevisionStation
Software
Holiday
Aircraft
ReligiousBuilding
Beverage
Non-ProfitOrganisation
HollywoodCartoon
HorseRace
SoftballLeague
Motorcycle
Museum
PoliticalParty
Comic
AmusementParkAttraction
Organisation
Anime
Manga
PlayboyPlaymate
MusicFestival
PoloLeague
FilmFestival
PublicTransitSystem
Canal
University
TelevisionEpisode
ComicStrip
MusicalWork
ComedyGroup
VideoGame
Play
Musical
GivenName
Single
Monarch
RugbyLeague
TradeUnion
WrittenWork
Automobile
RadioProgram
Castle
Legislature
TelevisionShow
Monument
Ship
RadioStation
Game
Song
Film
LawFirm
LaunchPad
Award
Book
GovernmentAgency
Rocket
Album
AcademicJournal
AutomobileEngine
RugbyClub
Royalty
WorldHeritageSite
WrestlingEvent
InformationAppliance
TelevisionSeason
AcademicConference
Device
Sound
WineRegion
Noble
Saint
CyclingRace
Artwork
Diocese
Sales
Activity
Continent
Baronet
Engine
Poem
Country
HandballTeam
MilitaryUnit
RailwayLine
CricketTeam
Locomotive
ProgrammingLanguage
SupremeCourtOfTheUnitedStatesCase
ClassicalMusicComposition
Grape
MythologicalFigure
Road
RailwayStation
MilitaryConflict
Star
Fashion
BiologicalDatabase
Novel
EthnicGroup
Station
Weapon
Skyscraper
SpaceStation
Surname
Train
ArtificialSatellite
Galaxy
Planet
Asteroid
